연번,업종명,업소명,영업소 주소(도로명),소재지전화
142,피부미용업,Nutime(뉴타임),경상남도 함안군 가야읍 가야로 54-2,
143,피부미용업,수예뷰티,경상남도 함안군 가야읍 가야15길 14,
144,종합미용업,Tibollae 튀볼래헤어,"경상남도 함안군 칠원읍 호암길 22, 1층 106호 (더노블리지)",055 -587 -8879
145,종합미용업,감원장 살롱,"경상남도 함안군 가야읍 중앙남길 24, 1층",
146,종합미용업,엘헤어,"경상남도 함안군 칠서면 칠평로 69, 칠서에이스아파트1단지상가 2층 210호",
147,종합미용업,복앤길 헤어아카데미,"경상남도 함안군 칠원읍 호암길 22, 1층 112호 (더노블리지)",
148,종합미용업,감성헤어,"경상남도 함안군 칠원읍 서남길 39-1, 1층 1호",
149,종합미용업,더샵,"경상남도 함안군 가야읍 가야로 47, 2층",
150,종합미용업,손꽃이뻐,경상남도 함안군 가야읍 가야8길 2,
151,종합미용업,정인헤어,"경상남도 함안군 가야읍 함마대로 1499-1, 101호",
152,종합미용업,머리하다,"경상남도 함안군 칠원읍 호암길 26, 203호",
153,종합미용업,썬이헤어샵,"경상남도 함안군 군북면 중암7길 7, 1층",
154,종합미용업,쟈르르,"경상남도 함안군 가야읍 가야로 42-1, 1층",
155,네일미용업,THE 예쁜손 네일아트,경상남도 함안군 가야읍 가야21길 2,055 -585 -1430
156,네일미용업,어비손톱,"경상남도 함안군 칠원읍 구성길 6, 1층",055 -586 -3953
157,네일미용업,네일멜로디,"경상남도 함안군 가야읍 중앙남길 11, 1층 2호",055 -585 -9929
158,네일미용업,유리네일,"경상남도 함안군 칠원읍 구성길 7, 1층",
159,네일미용업,Nail 하임,"경상남도 함안군 칠원읍 호암길 26, 밀라노타워 1층 102호",
160,네일미용업,Salon de goldbee(살롱드골드비),"경상남도 함안군 칠원읍 삼호길 183, 105호",
161,네일미용업,"네일,또",경상남도 함안군 가야읍 중앙남길 25,
162,네일미용업,네일작가,"경상남도 함안군 칠원읍 호암길 14, DH 타워 1층 105호",
163,네일미용업,비즈,"경상남도 함안군 칠원읍 구성길 14-1, 1층",055 -586 -0177
164,네일미용업,안녕. 지언살롱,경상남도 함안군 가야읍 충무길 77,
165,네일미용업,빛나는 네일,"경상남도 함안군 가야읍 함안대로 590, 1층",
166,"일반미용업, 피부미용업",진뷰티샵,경상남도 함안군 가야읍 가야6길 11-10,055 -584 -2021
167,"피부미용업, 네일미용업",오늘보다 나은 내일,"경상남도 함안군 가야읍 함안대로 582, 101호",
168,화장ㆍ분장 미용업,송눈썹제작소,"경상남도 함안군 가야읍 가야로 35-1, 2층",
169,"피부미용업, 화장ㆍ분장 미용업",가꿈 피부연구소,"경상남도 함안군 칠원읍 삼호길 183, 1동 2층 202호",
170,"네일미용업, 화장ㆍ분장 미용업",진뷰티샵,경상남도 함안군 가야읍 가야6길 11-10,055 -584 -2021
171,"일반미용업, 피부미용업, 네일미용업",미미네일,"경상남도 함안군 가야읍 성내북길 25, 1층 103호 (상가동)",055 -585 -7927
172,"일반미용업, 피부미용업, 화장ㆍ분장 미용업",미그리고,"경상남도 함안군 가야읍 가야15길 24, 205호",
173,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",샤르망,"경상남도 함안군 가야읍 함마대로 1636-16, 함안버스터미널 2층 201-2호",055 -582 -5759
174,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",예슬 hair shop,"경상남도 함안군 가야읍 함안대로 541, 1층 101호",
175,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",모던헤어카페,"경상남도 함안군 가야읍 성내남길 13, 4층 401호",055 -580 -2238
176,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",지아 헤어 살롱,"경상남도 함안군 가야읍 가야로 15, 1층 2호",
177,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",김은주 미용실,경상남도 함안군 가야읍 장터길 25,
