연번,읍면,경로당명,주 소
143,군북면,봉림경로당,경상남도 함안군 군북면 소포리 445-2
144,군북면,봉산장수사랑방,경상남도 함안군 군북면 봉산길 9
145,군북면,사촌경로당,경상남도 함안군 군북면 사촌4길 5
146,군북면,서촌경로당,경상남도 함안군 군북면 동촌1길 39-4
147,군북면,소포경로당,경상남도 함안군 군북면 소포4길 40-4
148,군북면,수곡경로당,경상남도 함안군 군북면 삼방로 355 1층
149,군북면,수곡내동장수사랑방,경상남도 함안군 군북면 수곡리 666
150,군북면,수곡큰늪실경로당,경상남도 함안군 군북면 수곡길 252-2
151,군북면,신창경로당,경상남도 함안군 군북면 의산삼일로 2018
152,군북면,신촌경로당,경상남도 함안군 군북면 사촌2길 20
153,군북면,안도경로당,경상남도 함안군 군북면 중암4길 16
154,군북면,여명경로당,경상남도 함안군 군북면 여명안길 41-6
155,군북면,영운경로당,경상남도 함안군 군북면 영운리 223
156,군북면,오곡경로당,경상남도 함안군 군북면 의산삼일로 1473
157,군북면,오곡새말경로당,경상남도 함안군 군북면 오곡1길 24-1
158,군북면,우계동경로당,경상남도 함안군 군북면 우말길 13
159,군북면,원북경로당,경상남도 함안군 군북면 원북길 29-5
160,군북면,월촌리경로당,경상남도 함안군 군북면 월촌안길 68
161,군북면,월촌안동네경로당,경상남도 함안군 군북면 월촌내길 84-4
162,군북면,유현경로당,경상남도 함안군 군북면 유현1길 22
163,군북면,의봉경로당,경상남도 함안군 군북면 강둑윗길 26
164,군북면,의봉새동네장수사랑방,경상남도 함안군 군북면 월촌리 1352호 7통
165,군북면,장명동경로당,경상남도 함안군 군북면 장백로 258
166,군북면,정암경로당,경상남도 함안군 군북면 정암3길 27
167,군북면,죽산경로당,경상남도 함안군 군북면 함마대로 567
168,군북면,중암경로당,경상남도 함안군 군북면 중암7길 31-1
169,군북면,지곡경로당,경상남도 함안군 군북면 영운2길 67
170,군북면,지두경로당,경상남도 함안군 군북면 지두3길 4-5 (덕대리 274-1)
171,군북면,평광경로당,경상남도 함안군 군북면 명관로 357
172,군북면,하림동경로당,경상남도 함안군 군북면 하림리 378
173,법수면,가곡경로당,경상남도 함안군 법수면 강주3길 130
174,법수면,강주경로당,경상남도 함안군 법수면 강주4길 71
175,법수면,강황경로당,경상남도 함안군 법수면 장백로 667
176,법수면,국계경로당,경상남도 함안군 법수면 강주2길 40
177,법수면,내송경로당,경상남도 함안군 법수면 대송1길 109
178,법수면,대평경로당,경상남도 함안군 법수면 대송3길 30-6
179,법수면,독산경로당,경상남도 함안군 법수면 독산길 49-16
180,법수면,매곡경로당,경상남도 함안군 법수면 매곡길 38-20
181,법수면,매바위경로당,경상남도 함안군 법수면 강주1길 286
182,법수면,문현경로당,경상남도 함안군 법수면 문현1길 21
183,법수면,백산동경로당,경상남도 함안군 법수면 백산리 798-7
184,법수면,법수면경로당,경상남도 함안군 법수면 법수로 258
185,법수면,부남경로당,경상남도 함안군 법수면 부남1길 2
186,법수면,부남큰당경로당,경상남도 함안군 법수면 부남길 114-4
187,법수면,부동경로당,경상남도 함안군 법수면 부동길 17
188,법수면,사정경로당,경상남도 함안군 법수면 사정길 78
189,법수면,사평경로당,경상남도 함안군 법수면 주물1길 141-3
190,법수면,삼익동장수사랑방,경상남도 함안군 법수면 삼익길 31
191,법수면,삼태경로당,경상남도 함안군 법수면 법정로 151
192,법수면,석무경로당,경상남도 함안군 법수면 석무길 119-11
193,법수면,심실장수사랑방(경로당),경상남도 함안군 법수면 우거북길 87
194,법수면,악양동경로당,경상남도 함안군 법수면 대법로 223-4
195,법수면,우거경로당,경상남도 함안군 법수면 우거남길 110-8
196,법수면,윤내경로당,경상남도 함안군 법수면 윤내2길 37
197,법수면,윤산경로당,경상남도 함안군 법수면 윤외4길 22
198,법수면,윤외경로당,경상남도 함안군 법수면 윤외3길 61
199,법수면,응암 샛터 경로당,경상남도 함안군 법수면 응암길 144-11
200,법수면,응암경로당,경상남도 함안군 법수면 응암길 93
